customer_id,customer_name,email,registration_date,customer_type
CUST00001,Aryan Maharaj,aryan.maharaj1@example.com,2025-01-20,PREMIUM
CUST00002,Udant Dewan,udant.dewan2@example.com,2025-04-19,PREMIUM
CUST00003,Gagan Sami,gagan.sami3@example.com,2026-02-28,REGULAR
CUST00004,Ayushman Chander,ayushman.chander4@example.com,2025-01-24,REGULAR
CUST00005,Viraj Tiwari,viraj.tiwari5@example.com,2026-04-13,REGULAR
CUST00006,Rushil Saini,rushil.saini6@example.com,2026-05-20,PREMIUM
CUST00007,Saumya Mall,saumya.mall7@example.com,2025-12-15,REGULAR
CUST00008,Nathaniel Sami,nathaniel.sami8@example.com,2025-01-06,PREMIUM
CUST00009,Arunima Dugal,arunima.dugal9@example.com,2025-11-25,REGULAR
CUST00010,Gayathri Chaudry,gayathri.chaudry10@example.com,2025-09-19,REGULAR
CUST00011,Lajita Chatterjee,lajita.chatterjee11@example.com,2025-10-06,PREMIUM
CUST00012,Hemangini Lalla,hemangini.lalla12@example.com,2025-02-03,PREMIUM
CUST00013,Tripti Yadav,tripti.yadav13@example.com,2025-10-22,REGULAR
CUST00014,Kritika Brar,kritika.brar14@example.com,2026-05-04,REGULAR
CUST00015,Janaki Handa,janaki.handa15@example.com,2026-03-25,REGULAR
CUST00016,Chakradev Kari,chakradev.kari16@example.com,2026-05-29,REGULAR
CUST00017,Fariq Kaul,fariq.kaul17@example.com,2025-03-03,PREMIUM
CUST00018,Lajita Mall,lajita.mall18@example.com,2025-10-23,REGULAR
CUST00019,Janya Gaba,janya.gaba19@example.com,2025-10-11,REGULAR
CUST00020,Isha Kadakia,isha.kadakia20@example.com,2026-06-05,REGULAR
CUST00021,Ekbal Garg,ekbal.garg21@example.com,2026-05-19,REGULAR
CUST00022,Nihal Shere,nihal.shere22@example.com,2026-02-19,PREMIUM
CUST00023,Anamika Kanda,anamika.kanda23@example.com,2025-10-22,REGULAR
CUST00024,Daksh Karnik,daksh.karnik24@example.com,2026-06-19,REGULAR
CUST00025,Diya Rattan,diya.rattan25@example.com,2025-02-13,REGULAR
CUST00026,Dominic Kakar,dominic.kakar26@example.com,2025-09-03,REGULAR
CUST00027,Simon Tata,simon.tata27@example.com,2026-03-17,PREMIUM
CUST00028,Tara Dhar,tara.dhar28@example.com,2026-05-25,REGULAR
CUST00029,Liam Koshy,liam.koshy29@example.com,2026-05-15,REGULAR
CUST00030,Priya Rastogi,priya.rastogi30@example.com,2025-07-11,PREMIUM
CUST00031,Theodore Devi,theodore.devi31@example.com,2026-03-31,REGULAR
CUST00032,Gavin Batta,gavin.batta32@example.com,2025-10-09,REGULAR
CUST00033,Michael Dutta,michael.dutta33@example.com,2026-01-31,REGULAR
CUST00034,Devansh Rajan,devansh.rajan34@example.com,2025-03-27,REGULAR
CUST00035,Upadhriti Wadhwa,upadhriti.wadhwa35@example.com,2026-06-13,REGULAR
CUST00036,Advay Contractor,advay.contractor36@example.com,2025-10-24,REGULAR
CUST00037,Harini Choudhury,harini.choudhury37@example.com,2025-07-15,VIP
CUST00038,Radhika Dugar,radhika.dugar38@example.com,2025-01-09,REGULAR
CUST00039,Aarush Lall,aarush.lall39@example.com,2026-02-22,PREMIUM
CUST00040,Yashica Cherian,yashica.cherian40@example.com,2025-09-22,REGULAR
CUST00041,Yashica Issac,yashica.issac41@example.com,2025-12-19,REGULAR
CUST00042,Kashvi Edwin,kashvi.edwin42@example.com,2025-07-24,VIP
CUST00043,Ekiya Suresh,ekiya.suresh43@example.com,2026-01-30,PREMIUM
CUST00044,Isaac Patil,isaac.patil44@example.com,2025-08-20,PREMIUM
CUST00045,Wriddhish Bhardwaj,wriddhish.bhardwaj45@example.com,2025-06-04,REGULAR
CUST00046,Farhan Chada,farhan.chada46@example.com,2026-02-23,VIP
CUST00047,Ekapad Walia,ekapad.walia47@example.com,2025-01-01,REGULAR
CUST00048,Kabir Soman,kabir.soman48@example.com,2025-03-28,PREMIUM
CUST00049,Alka Wable,alka.wable49@example.com,2025-08-27,REGULAR
